854539,7,135000.0,1,0.0,28.33,23778,14000.0,14000.0,1,6,7.49,24213,14,14,1440.84,24204,14000.0,14.0,3,1,51636.0,74.5,4,1,0,36.0,15351.8876511,15351.89,0.0,0.0,0.0,69990.0,1.0
854543,6,200000.0,1,0.0,3.2,23998,28000.0,28000.0,1,2,7.49,24202,11,11,13368.28,24202,28000.0,13.0,2,1,27685.0,46.2,4,3,0,30.0,30773.6300017,30773.63,0.0,0.0,0.0,421045.0,10.0
854545,36,45000.0,1,0.0,29.63,24021,19750.0,19750.0,5,5,19.24,24205,8,8,14518.63,24205,19750.0,9.0,3,1,5322.0,35.7,22,2,0,10.0,26352.9159456,26352.92,0.0,0.0,140.0,25930.0,1.0
854546,37,97500.0,1,0.0,32.91,23947,25000.0,25000.0,2,2,8.67,24213,19,19,21721.81,24192,25000.0,20.0,2,1,17095.0,25.7,6,3,0,35.0,26859.47,26859.47,0.0,0.0,0.0,409001.0,2.0
854547,5,104000.0,1,1.0,12.16,23807,20000.0,20000.0,3,5,14.99,24213,7,7,693.21,24200,20000.0,13.0,3,1,8747.0,20.0,15,3,0,52.0,14349.19,14349.19,0.0,0.0,315.0,255972.0,10.0
854549,35,53400.0,1,0.0,33.57,23963,20000.0,19725.0,4,2,16.49,24213,8,8,8.54,24188,20000.0,16.0,2,1,47284.0,82.5,18,2,0,27.0,21583.94,21287.16,0.0,0.0,200.0,91234.0,10.0
854550,43,50000.0,1,0.0,31.61,23998,18500.0,18500.0,4,2,15.99,24211,6,6,93.08,24211,18500.0,10.0,2,1,12902.0,79.2,17,1,0,35.0,24633.348135,24633.35,0.0,0.0,0.0,156980.0,1.0
854552,20,140000.0,1,1.0,31.32,23852,28000.0,28000.0,2,2,11.99,24211,8,8,6331.5,24211,28000.0,18.0,2,1,28386.0,76.1,10,3,0,26.0,33279.0841903,33279.08,0.0,0.0,0.0,170953.0,3.0
854554,23,30000.0,1,0.0,25.24,24110,5000.0,5000.0,2,2,11.99,24213,4,4,4694.68,24184,5000.0,14.0,3,1,4383.0,24.9,10,2,0,17.0,5189.5,5189.5,0.0,0.0,530.0,11961.0,3.0
854555,10,35000.0,1,0.0,10.77,24130,14000.0,14000.0,4,6,17.14,24209,8,8,349.0,24194,14000.0,9.0,3,1,9400.0,43.3,19,2,0,10.0,4523.67,4523.67,0.0,0.0,0.0,18280.0,5.0
854559,4,56400.0,1,0.0,22.34,23983,18000.0,18000.0,2,2,8.67,24205,5,5,7132.35,24205,18000.0,12.0,2,1,16040.0,80.2,6,2,0,25.0,20216.7297868,20216.73,0.0,0.0,0.0,256404.0,1.0
854561,44,45000.0,1,0.0,18.48,23928,12000.0,12000.0,5,2,19.99,24205,3,3,317.86,24191,12000.0,8.0,10,1,6079.0,55.8,23,3,0,23.0,3483.13,3483.13,0.0,0.0,399.0,138716.0,7.0
854562,39,63000.0,1,0.0,17.01,23979,10000.0,10000.0,1,2,6.99,24213,20,20,1830.59,24211,10000.0,13.0,3,1,17708.0,26.8,3,2,0,19.0,11088.609762,11088.61,0.0,0.0,0.0,288298.0,10.0
854563,32,62000.0,1,1.0,24.93,24054,19050.0,19050.0,3,6,14.31,24213,8,8,690.13,24195,19050.0,11.0,3,1,12836.0,50.7,14,1,0,18.0,21438.3500224,21438.35,0.0,0.0,0.0,20504.0,7.0
854564,26,70000.0,1,0.0,9.27,23911,10000.0,10000.0,1,2,7.49,24203,8,8,4487.83,24203,10000.0,9.0,3,1,8415.0,24.1,4,2,0,19.0,11010.9286568,11010.93,0.0,0.0,1879.0,13782.0,1.0
854565,10,155000.0,1,1.0,16.48,23734,31175.0,31175.0,5,6,21.99,24213,8,8,28092.01,24194,31175.0,10.0,3,1,12236.0,65.0,25,1,0,15.0,38384.12,38384.12,0.0,0.0,0.0,74659.0,4.0
854566,11,143858.0,1,1.0,16.54,23717,29150.0,29150.0,1,2,6.99,24192,11,11,21869.53,24192,29150.0,21.0,3,1,41550.0,35.0,3,2,0,34.0,30857.61,30857.61,0.0,0.0,0.0,264769.0,10.0
854568,24,45000.0,1,0.0,14.32,24058,16150.0,16150.0,5,6,19.99,24212,3,3,427.79,24208,16150.0,3.0,10,1,5256.0,87.6,23,2,0,13.0,10680.27,10680.27,21.39,0.0,0.0,16197.0,3.0
854572,24,58000.0,1,0.0,10.9,23974,15000.0,15000.0,1,6,6.99,24198,11,11,10414.05,24194,15000.0,14.0,3,1,11625.0,51.0,3,1,0,41.0,15965.31,15965.31,0.0,0.0,0.0,30569.0,9.0
854573,43,40000.0,1,2.0,37.57,23898,10000.0,10000.0,3,6,13.66,24204,6,6,40.76,24205,10000.0,10.0,3,1,3225.0,34.3,13,2,0,41.0,11950.7428628,11950.74,0.0,0.0,0.0,54022.0,10.0
854578,15,57000.0,1,0.0,18.72,24055,7000.0,7000.0,2,2,9.49,24213,10,10,4949.28,24194,7000.0,8.0,2,1,3774.0,30.0,7,1,0,14.0,7635.99,7635.99,0.0,0.0,0.0,44006.0,10.0
854579,44,160000.0,1,0.0,14.14,23957,25000.0,25000.0,1,5,7.49,24188,14,14,21424.12,24188,25000.0,20.0,3,1,35798.0,49.8,4,2,0,32.0,26079.02,26079.02,0.0,0.0,0.0,200164.0,10.0
